PAA Title,Parent,Text,URL,URL Title
Apakah iguana makan setiap hari?,apa makanan iguana,“Iguana adalah hewan herbivora yang mengonsumsi sayuran setiap hari. 29 Agu 2021,https://www.halodoc.com/artikel/kenali-makanan-iguana-berdasarkan-usianya#:~:text=%E2%80%9CIguana%20adalah%20hewan%20herbivora%20yang%20mengonsumsi%20sayuran%20setiap%20hari.,Kenali Makanan Iguana Berdasarkan Usianya - Halodoc
Apakah kangkung baik untuk iguana?,apa makanan iguana,"Jenis Jenis Makanan Terbaik Untuk Iguana     Makanan yang tidak boleh diberikan di antaranya seperti serangga, pelet kucing dan anjing, serta biji-bijian, untuk makanan extra(tambahan) sendiri, dapat diberikan seperti pisang, kangkung, bayam, dan sawi putih. 10 Agu 2020","https://www.kompasiana.com/romihanafi5447/5f312f88097f367f404a53b2/makanan-yang-sehat-dan-baik-untuk-iguana#:~:text=Jenis%20Jenis%20Makanan%20Terbaik%20Untuk,%2C%20bayam%2C%20dan%20sawi%20putih.",Makanan yang Sehat dan Baik untuk Iguana Halaman 1 - Kompasiana.com
Apakah iguana bisa menggigit?,apa makanan iguana,"   Iguana menggigit    Selain gigitannya yang menyakitkan, iguana sering membawa dan menyebarkan bakteri salmonella. Ini membuat mereka sangat berbahaya jika gigitan iguana terjadi hingga merusak kulit dan mengeluarkan darah. 4 Sep 2022","https://www.kompas.com/sains/read/2022/09/04/160500223/apakah-iguana-berbahaya-?page=all#:~:text=Iguana%20menggigit&text=Selain%20gigitannya%20yang%20menyakitkan%2C%20iguana,merusak%20kulit%20dan%20mengeluarkan%20darah.",Apakah Iguana Berbahaya? Halaman all - Kompas.com
Apakah iguana boleh makan nasi?,apa makanan iguana,"   Selanjutnya seperti dilansir dari laman Pet Iguana Care, iguana juga dapat diberikan makanan tambahan seperti nasi, pasta yang dimasak ataupun roti-rotian sejenis roti gandum. 2 Des 2021","https://petpintar.com/reptil/jenis-makanan-iguana#:~:text=Selanjutnya%20seperti%20dilansir%20dari%20laman,roti%2Drotian%20sejenis%20roti%20gandum.","6 Jenis Makanan Iguana, Cepat Besar dan Berumur Panjang"
Iguana minum apa?,Apakah iguana makan setiap hari?,"Meski sayur dan buah tinggi air, kamu tetap perlu menyediakan air minum yang cukup untuk iguana. 29 Jun 2021","https://www.halodoc.com/artikel/inilah-makanan-iguana-agar-cepat-besar#:~:text=Meski%20sayur%20dan%20buah%20tinggi,minum%20yang%20cukup%20untuk%20iguana.",Inilah Makanan Iguana agar Cepat Besar - Halodoc
Apakah iguana harus di mandikan?,Apakah iguana makan setiap hari?,"Banyak yang beranggapan Iguana tidak perlu dimandikan, asal dijaga suhu kandang dan kebersihannya. Yap itu benar, tetapi memandikan iguana lebih baik untuk menjamin kebersihan iguana selain itu juga membuat owner dengan iguana sering berinteraksi sehingga iguana lebih familiar dengan owner dan menjadi jinak. 28 Apr 2018","https://www.dictio.id/t/bagaimana-cara-memandikan-iguana/62688#:~:text=Banyak%20yang%20beranggapan%20Iguana%20tidak,dengan%20owner%20dan%20menjadi%20jinak.",Bagaimana cara memandikan iguana? - Dictio Community
Bagaimana cara menjinakkan iguana?,Apakah kangkung baik untuk iguana?,"   3 Cara Menjinakan Iguana Sabar dan Telaten Dalam Melatih Iguana. Saat melatih Iguana, memang dibutuhkan kesabaran dalam melatihnya. ...  Tidak Boleh Takut Dengan Iguana. Sudah dipastikan sebagai pemelihara dapat membuang rasa takut, sebab karakter pada Iguana tidak menentu. ...  Berinterkasi dengan Iguana Sesering Mungkin. 25 Mar 2022",https://jagadtani.com/read/3024/3-cara-menjinakan-iguana,3 Cara Menjinakan Iguana - Jagad Tani - Petaninya Milenial
Berapa hari sekali iguana makan?,Apakah kangkung baik untuk iguana?,"Untuk pemberian makanan sendiri dapat dilakukan 1–2 kali sehari, dengan pemberian makanan utama pada pagi hari, dan camilan pada sore hari. Tak kalah penting, jangan lupa untuk menyediakan air bersih dalam wadah khusus. Perhatikan pula kebersihan air dan wadah. 10 Jul 2021","https://www.halodoc.com/artikel/kenali-4-cara-memilih-makanan-iguana-yang-tepat#:~:text=Untuk%20pemberian%20makanan%20sendiri%20dapat,pula%20kebersihan%20air%20dan%20wadah.",Kenali 4 Cara Memilih Makanan Iguana yang Tepat - Halodoc
Apakah iguana makan tomat?,Apakah kangkung baik untuk iguana?,"   Beberapa makanan asam seperti tomat, jeruk nipis, buah kiwi, dan anggur juga bisa Anda berikan kepada Iguana. Pasalnya, beberapa kandungan penting pada buah tersebut mampu meningkatkan kesehatan Iguana. Namun demikian, makanan jenis ini sebaiknya diberikan hanya sesekali saja. 10 Mar 2021","https://www.merdeka.com/jateng/5-makanan-iguana-agar-cepat-besar-dan-berumur-panjang-jangan-salah-pilih-kln.html#:~:text=Beberapa%20makanan%20asam%20seperti%20tomat,sebaiknya%20diberikan%20hanya%20sesekali%20saja.","5 Makanan Iguana agar Cepat Besar dan Berumur Panjang, Jangan ..."
Apakah kotoran iguana bau?,Apakah iguana bisa menggigit?,"   Selain itu, iguana merupakan reptil pemakan tumbuh-tumbuhan, sehingga kotorannya tidak begitu berbau. 27 Nov 2022","https://radarsolo.jawapos.com/features/27/11/2022/merawat-baby-iguana-kualitas-kesehatan-ditentukan-ukuran-ekor/#:~:text=Selain%20itu%2C%20iguana%20merupakan%20reptil,sehingga%20kotorannya%20tidak%20begitu%20berbau.","Merawat Baby Iguana, Kualitas Kesehatan Ditentukan Ukuran Ekor"
Dengan cara apa saja iguana berkomunikasi?,Apakah iguana bisa menggigit?,"Untuk berkomunikasi antara induvidu satu dengan lainnya, iguana menggunakan sinyal visual, antara lain anggukan kepala, ekstensi gelambir atau dewlap, serta menggelengkan kepala jika ada ancaman.","https://rimbakita.com/iguana/#:~:text=Untuk%20berkomunikasi%20antara%20induvidu%20satu,menggelengkan%20kepala%20jika%20ada%20ancaman.","Iguana - Jenis, Habitat, Cara Pelihara, Fakta Unik & Perbedaan ..."
Berapa lama waktu menjemur iguana?,Apakah iguana bisa menggigit?,"“Setiap pagi, iguana perlu dijemur sekitar 15-20 menit. Penjemuran ini berfungsi untuk memperlancar pencernaan iguana, di samping itu sinar matahari pagi juga bisa sebagai asupan vitamin mereka. 26 Agu 2015","https://www.facebook.com/balipost/posts/pelihara-iguana-perlu-dijemur-tiap-pagimenurut-dwi-setiawan-iguana-umumnya-hidup/890693640997278/?locale=id_ID#:~:text=dalam%20aliran%20darah.-,%E2%80%9CSetiap%20pagi%2C%20iguana%20perlu%20dijemur%20sekitar%2015%2D20%20menit,bisa%20sebagai%20asupan%20vitamin%20mereka.","BALIPOST.com - Pelihara Iguana, Perlu Dijemur tiap Pagi MENURUT ..."
Berapa harga iguana sekarang?,Apakah iguana boleh makan nasi?,"   Harga (Rp)    Sedangkan, Iguana Super Red juga mengalami kenaikan harga tertinggi dari Rp2 juta tahun 2020 menjadi Rp3 jutaan tahun 2021, lalu menjadi Rp5 jutaan tahun 2022 dan 2023. 23 Feb 2023","https://harga.web.id/harga-jual-beli-iguana-reptil-untuk-hobi-dan-investasi.info#:~:text=Harga%20(Rp)&text=Sedangkan%2C%20Iguana%20Super%20Red%20juga,jutaan%20tahun%202022%20dan%202023.",Info Terbaru Harga Jual Beli Reptil Iguana Untuk Hobi dan Investasi
Iguana dewasa umur berapa?,Apakah iguana boleh makan nasi?,"Iguana yang Umum Dipelihara    Di penangkaran, iguana biasanya hidup sekitar 10 – 12 tahun. Berat tubuhnya bisa mencapai 9 kilogram dan panjangnya bisa mencapai hampir 1,8 meter. 29 Jan 2020","https://bobo.grid.id/read/082004378/ingin-pelihara-iguana-cari-tahu-dulu-6-fakta-iguana-agar-lebih-aman-dan-tahu-cara-merawatnya?page=all#:~:text=Iguana%20yang%20Umum%20Dipelihara&text=Di%20penangkaran%2C%20iguana%20biasanya%20hidup,mencapai%20hampir%201%2C8%20meter.",Ingin Pelihara Iguana? Cari Tahu Dulu 6 Fakta Iguana Agar Lebih ...
Apa iguana bisa berubah warna?,Apakah iguana boleh makan nasi?,"   5. Perubahan Warna. Iguana dan bunglon sama-sama berubah warna kulitnya, akan tetapi Iguana tidak bisa mengubah warna secara spontan. Perubahan warna iguana terjadi saat badannya bertambah besar dan panjang.","https://id.theasianparent.com/perbedaan-bunglon-dan-iguana#:~:text=5.,Perubahan%20Warna&text=Iguana%20dan%20bunglon%20sama%2Dsama,badannya%20bertambah%20besar%20dan%20panjang.","7 Perbedaan Bunglon dan Iguana, Reptil Unik yang Bisa Dipelihara"
