topic,context
Apa kelebihan ikan channa Limbata?,"Ikan Channa Limbata dulu banyak dikonsumsi oleh masyarakat, salah satu khasiat dari ikan ini adalah dipercaya cepat mengeringkan luka atau bekas operasi, sekarang makin diminati oleh pecinta ikan hias. Maka tidak heran jika ikan ini juga mulai sulit untuk dicari karena tingkat perburuannya yang tinggi. 23 Mar 2022"
Apa makanan favorit ikan channa Limbata?,"   Cacing tanah merupakan salah satu jenis pakan yang sangat direkomendasikan sebagai makanan ikan Channa. Jenis pakan ini bahkan bisa diberikan kepada ikan Channa yang masih berukuran kecil. Kandungan yang terdapat dalam cacing tanah dapat membantu mempercepat keluarnya warna pada ikan Channa. 21 Okt 2022"
Ikan channa Limbata adanya di mana?,"   Channa limbata menyebar luas mulai dari Burma, Vietnam, Cina (selatan), Semenanjung Malaya, Singapura, dan Indonesia. Tercatat pula dari Thailand. Di Indonesia ikan ini diketahui menyebar di Sumatera (termasuk Nias, Bangka, Belitung), Kalimantan, Jawa (termasuk Bawean), dan Madura."
Gimana ciri ciri ikan channa Limbata?,"   Ciri-ciri Channa Limbata    Ikan ini merupakan mempunyai warna tubuh yang hitam atau abu abu disertai garis kuning atau oranye pada bagian ujung sirip dorsal dan sirip ekor. Channa Limbata juga dapat tumbuh mencapai panjang maksimal 20cm. 18 Agu 2022"
Berapa umur Channa Limbata?,"   Umur ikan channa dapat bertahan hingga 15 tahun asalkan dirawat dengan benar. 22 Agu 2022"
Berapa lama Channa Limbata mengerami telur?,"   Diketahui, Channa Limbata termasuk dalam ikan yang mengerami telur dalam mulut. Telur yang keluar dari induk betina akan dimasukkan ke dalam mulut induk jantan. Induk jantan akan mengerami telur hingga menjadi larva kurang lebih 2-3 hari. 15 Mei 2022"
Berapa kali ganti air ikan channa?,Penggantian air dan penyifonan dilakukan 2 hari sekali sebanyak 10% dari volume total dalam akuarium.
Berapa kali Channa Limbata makan?,"Channa Limbata menyukai pakan hewan seperti Jangkrik, Cacing tanah, dan Udang. Pemberian makan rutin sehari 3 kali. 18 Mei 2022"
Channa Limbata warna apa?,"   Lalu, ikan channa juga memiliki kemampuan adaptasi yang baik. Bentuk ikan channa limbata ini terbilang cukup kecil, mempunyai warna tubuh abu-abu sampai hitam dengan garis merah yang ada pada ujung sirip dorsal dan sirip ekornya. 19 Okt 2022"
Apakah Channa Limbata bisa galak?,"Ikan Channa Limbata hasil tangkapan dari alam, kebanyakan tidak cepat galak. Padahal, untuk kontes diperlukan ikan yang galak. 6 Des 2022"
Apakah Channa Limbata asli Indonesia?,Channa limbata merupakan salah satu jenis ikan gabus yang cukup populer dan banyak diminati oleh penggemar hewan hias. Ikan ini tergolong gabus lokal asli Indonesia yang biasa hidup di area pegunungan Pulau Jawa. 27 Jan 2023
Apakah Channa Limbata bisa dikonsumsi?,"Sebelum populer, Ikan Channa Limbata justru banyak dikonsumsi oleh masyarakat karena dipercaya dapat membantu mempercepat pengeringan luka. 24 Nov 2022"
Bagaimana cara merawat Channa Limbata?,"   Cara Merawat ikan Channa yang Benar Jaga Agar Tidak Stres. Ada beberapa hal yang bisa menyebabkan ikan mengalami stres, salah satu hal yang paling berpengaruh adalah lingkungan atau wadah dari ikan itu sendiri. ...  2. Berikan pakan Terbaik. ...  Menggunakan Pasir Malang. ...  4. Rajin Menguras Air. 16 Jun 2022"
